date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-15,09,24,14,0.0,30,1017,0
2019-01-15,12,26,14,0.0,34,1017,0
2019-01-15,15,25,14,0.0,38,1016,0
2019-01-15,18,22,9,0.0,43,1018,0
2019-01-15,21,18,9,0.0,45,1018,0
2019-01-16,00,15,10,0.0,50,1018,0
2019-01-16,03,14,12,0.0,53,1018,0
2019-01-16,06,16,11,0.0,43,1019,0
2019-01-16,09,22,11,0.0,27,1018,0
2019-01-16,12,24,11,0.0,28,1017,0
2019-01-16,15,24,11,0.0,30,1016,0
2019-01-16,18,21,8,0.0,37,1016,0
2019-01-16,21,18,6,0.0,39,1016,0
2019-01-17,00,16,6,0.0,41,1016,0
2019-01-17,03,15,8,0.0,44,1016,0
2019-01-17,06,16,8,0.0,38,1017,0
2019-01-17,09,23,8,0.0,29,1016,0
2019-01-17,12,26,8,0.0,29,1015,0
2019-01-17,15,26,9,0.0,30,1014,0
2019-01-17,18,22,6,0.0,36,1015,0
2019-01-17,21,20,4,0.0,38,1015,0
2019-01-18,00,17,5,0.0,43,1015,0
2019-01-18,03,16,8,0.0,46,1016,0
2019-01-18,06,17,6,0.0,41,1017,0
2019-01-18,09,24,7,0.0,30,1016,0
2019-01-18,12,26,9,0.0,32,1015,0
2019-01-18,15,26,11,0.0,33,1014,0
2019-01-18,18,23,5,0.0,39,1015,0
2019-01-18,21,20,3,0.0,41,1016,0
2019-01-19,00,17,6,0.0,49,1016,0
2019-01-19,03,16,8,0.0,56,1016,0
2019-01-19,06,17,8,0.0,55,1018,0
2019-01-19,09,24,8,0.0,34,1017,0
2019-01-19,12,26,10,0.0,35,1016,0
2019-01-19,15,26,11,0.0,36,1015,0
2019-01-19,18,23,6,0.0,41,1017,0
2019-01-19,21,19,6,0.0,42,1017,0
2019-01-20,00,17,7,0.0,48,1017,0
2019-01-20,03,16,7,0.0,52,1018,0
2019-01-20,06,18,5,0.0,45,1019,0
2019-01-20,09,24,5,0.0,32,1018,0
2019-01-20,12,27,8,0.0,34,1017,0
2019-01-20,15,27,10,0.0,36,1016,0
2019-01-20,18,23,7,0.0,42,1017,0
2019-01-20,21,21,5,0.0,45,1017,0
2019-01-21,00,20,5,0.0,48,1016,0
2019-01-21,03,17,6,0.0,52,1017,0
2019-01-21,06,18,6,0.0,43,1018,0
2019-01-21,09,25,8,0.0,31,1017,0
2019-01-21,12,28,8,0.0,32,1016,0
2019-01-21,15,27,8,0.0,33,1015,0
2019-01-21,18,24,5,0.0,41,1016,0
2019-01-21,21,21,5,0.0,44,1016,0
2019-01-22,00,20,5,0.0,47,1016,0
2019-01-22,03,18,4,0.0,50,1017,0
2019-01-22,06,20,4,0.0,43,1018,0
2019-01-22,09,27,3,0.0,30,1017,0
2019-01-22,12,28,3,0.0,30,1016,0
2019-01-22,15,28,3,0.0,30,1015,0
2019-01-22,18,25,6,0.0,37,1017,0
