date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-15,09,6,1,0.0,55,1024,21
2019-01-15,12,9,6,0.0,52,1021,79
2019-01-15,15,12,19,0.0,57,1018,27
2019-01-15,18,10,22,0.0,60,1016,18
2019-01-15,21,9,20,0.0,64,1014,12
2019-01-16,00,8,15,0.0,63,1012,5
2019-01-16,03,6,10,0.0,57,1011,8
2019-01-16,06,6,13,0.0,56,1011,2
2019-01-16,09,6,10,0.0,47,1013,8
2019-01-16,12,9,24,0.0,32,1013,10
2019-01-16,15,9,21,0.0,28,1013,46
2019-01-16,18,8,13,0.0,25,1015,46
2019-01-16,21,7,13,0.0,30,1016,48
2019-01-17,00,5,12,0.0,40,1016,30
2019-01-17,03,5,10,0.0,43,1015,15
2019-01-17,06,4,9,0.0,46,1015,4
2019-01-17,09,7,6,0.0,41,1014,2
2019-01-17,12,11,13,0.0,41,1011,0
2019-01-17,15,12,12,0.0,34,1009,3
2019-01-17,18,10,5,0.0,33,1010,4
2019-01-17,21,7,9,0.0,35,1011,4
2019-01-18,00,6,7,0.0,39,1012,7
2019-01-18,03,4,20,0.0,41,1014,16
2019-01-18,06,3,28,0.0,37,1017,0
2019-01-18,09,4,27,0.0,31,1018,0
2019-01-18,12,9,24,0.0,23,1017,3
2019-01-18,15,10,16,0.0,22,1018,7
2019-01-18,18,8,13,0.0,26,1019,0
2019-01-18,21,6,14,0.0,30,1021,0
2019-01-19,00,5,15,0.0,29,1021,0
2019-01-19,03,4,13,0.0,30,1021,5
2019-01-19,06,4,11,0.0,36,1022,2
2019-01-19,09,7,8,0.0,33,1022,2
2019-01-19,12,10,10,0.0,25,1021,4
2019-01-19,15,11,8,0.0,29,1020,12
2019-01-19,18,10,8,0.0,42,1020,7
2019-01-19,21,7,7,0.0,46,1020,7
2019-01-20,00,7,7,0.0,42,1019,2
2019-01-20,03,4,6,0.0,42,1017,4
2019-01-20,06,4,4,0.0,46,1014,8
2019-01-20,09,6,5,0.0,49,1011,26
2019-01-20,12,13,13,0.0,45,1006,17
2019-01-20,15,14,12,0.0,37,1003,13
2019-01-20,18,11,10,0.0,46,1005,5
2019-01-20,21,8,6,0.0,51,1006,7
2019-01-21,00,7,21,0.0,48,1008,7
2019-01-21,03,5,26,0.0,41,1010,7
2019-01-21,06,4,25,0.0,37,1011,4
2019-01-21,09,5,21,0.0,31,1013,2
2019-01-21,12,9,13,0.0,23,1012,4
2019-01-21,15,10,7,0.0,26,1011,4
2019-01-21,18,9,15,0.0,31,1012,4
