date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-15,06,0,6,0.0,75,1023,10
2019-01-15,09,0,7,0.0,69,1022,10
2019-01-15,12,6,7,0.0,55,1021,10
2019-01-15,15,12,5,0.0,44,1019,11
2019-01-15,18,10,3,0.0,54,1019,14
2019-01-15,21,7,2,0.0,64,1020,17
2019-01-16,00,6,3,0.0,71,1021,17
2019-01-16,03,4,3,0.0,76,1021,14
2019-01-16,06,3,3,0.0,79,1021,15
2019-01-16,09,2,3,0.0,72,1020,38
2019-01-16,12,6,5,0.0,58,1019,80
2019-01-16,15,10,9,0.0,50,1017,48
2019-01-16,18,8,9,0.0,61,1017,8
2019-01-16,21,6,6,0.0,76,1018,14
2019-01-17,00,5,3,0.0,83,1019,26
2019-01-17,03,3,2,0.0,86,1019,30
2019-01-17,06,2,3,0.0,87,1019,33
2019-01-17,09,3,4,0.0,80,1020,49
2019-01-17,12,5,4,0.0,66,1020,64
2019-01-17,15,9,6,0.0,57,1019,82
2019-01-17,18,8,9,0.0,62,1020,59
2019-01-17,21,4,10,0.0,67,1021,20
2019-01-18,00,1,10,0.0,68,1022,6
2019-01-18,03,-1,9,0.0,72,1023,3
2019-01-18,06,-0,6,0.0,75,1023,5
2019-01-18,09,1,3,0.0,67,1022,30
2019-01-18,12,4,5,0.0,54,1021,73
2019-01-18,15,7,10,0.0,45,1020,65
2019-01-18,18,7,9,0.0,46,1019,58
2019-01-18,21,4,11,0.0,56,1020,34
2019-01-19,00,3,7,0.0,67,1021,21
2019-01-19,03,2,3,0.0,76,1021,15
2019-01-19,06,1,3,0.0,80,1021,15
2019-01-19,09,-0,5,0.0,72,1020,33
2019-01-19,12,2,9,0.0,61,1018,63
2019-01-19,15,4,13,0.2,63,1015,89
2019-01-19,18,4,10,0.6,77,1014,100
2019-01-19,21,4,7,0.2,89,1012,100
2019-01-20,00,5,8,0.0,94,1010,100
2019-01-20,03,5,9,0.4,94,1009,89
2019-01-20,06,5,8,0.3,92,1010,77
2019-01-20,09,5,8,0.0,82,1012,39
2019-01-20,12,7,16,0.0,58,1014,9
2019-01-20,15,10,25,0.0,46,1015,16
2019-01-20,18,8,15,0.0,56,1017,15
2019-01-20,21,6,11,0.0,68,1019,7
2019-01-21,00,2,7,0.0,77,1021,8
2019-01-21,03,2,5,0.0,82,1021,10
2019-01-21,06,1,5,0.0,83,1022,9
2019-01-21,09,2,7,0.0,75,1023,13
2019-01-21,12,6,11,0.0,56,1022,23
2019-01-21,15,9,17,0.0,45,1022,18
2019-01-21,18,8,16,0.0,53,1022,5
2019-01-21,21,4,9,0.0,67,1024,9
2019-01-22,00,2,4,0.0,75,1024,61
2019-01-22,03,1,2,0.0,80,1023,53
2019-01-22,06,2,3,0.0,78,1022,48
2019-01-22,09,2,5,0.0,69,1021,82
2019-01-22,12,5,10,0.0,58,1019,89
2019-01-22,15,8,17,0.1,53,1016,94
2019-01-22,18,7,15,0.1,64,1015,100
2019-01-22,21,5,15,0.0,78,1015,60
