date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-15,09,8,12,0.0,75,1029,100
2019-01-15,12,9,15,0.0,65,1028,100
2019-01-15,15,8,17,0.0,68,1029,100
2019-01-15,18,7,18,0.0,72,1031,100
2019-01-15,21,6,18,0.0,69,1032,100
2019-01-16,00,5,15,0.0,68,1031,83
2019-01-16,03,4,14,0.0,66,1031,59
2019-01-16,06,2,13,0.0,67,1031,26
2019-01-16,09,4,11,0.0,50,1031,5
2019-01-16,12,7,10,0.0,40,1029,13
2019-01-16,15,6,11,0.0,41,1029,47
2019-01-16,18,5,10,0.0,41,1030,88
2019-01-16,21,4,8,0.0,41,1030,16
2019-01-17,00,5,8,0.0,44,1029,0
2019-01-17,03,2,8,0.0,46,1029,0
2019-01-17,06,1,8,0.0,47,1030,0
2019-01-17,09,5,9,0.0,38,1030,3
2019-01-17,12,9,10,0.0,33,1028,0
2019-01-17,15,10,10,0.0,37,1029,0
2019-01-17,18,8,9,0.0,41,1030,0
2019-01-17,21,7,4,0.0,43,1031,0
2019-01-18,00,6,3,0.0,45,1030,0
2019-01-18,03,5,2,0.0,47,1029,0
2019-01-18,06,4,3,0.0,49,1029,0
2019-01-18,09,8,6,0.0,42,1029,0
2019-01-18,12,10,12,0.0,47,1026,0
2019-01-18,15,12,15,0.0,57,1025,0
2019-01-18,18,8,15,0.0,69,1024,0
2019-01-18,21,8,16,0.0,76,1024,0
2019-01-19,00,8,15,0.0,81,1023,0
2019-01-19,03,8,12,0.0,82,1022,2
2019-01-19,06,7,10,0.0,77,1022,22
2019-01-19,09,10,9,0.0,67,1022,52
2019-01-19,12,11,9,0.0,63,1021,33
2019-01-19,15,10,11,0.0,70,1022,86
2019-01-19,18,9,12,0.0,72,1023,100
2019-01-19,21,8,12,0.0,73,1025,83
2019-01-20,00,8,14,0.0,68,1026,70
2019-01-20,03,7,13,0.0,66,1027,27
2019-01-20,06,5,14,0.0,70,1029,11
2019-01-20,09,7,16,0.0,59,1030,8
2019-01-20,12,9,18,0.0,52,1029,22
2019-01-20,15,8,19,0.0,56,1030,18
2019-01-20,18,7,17,0.0,59,1031,27
2019-01-20,21,4,14,0.0,59,1032,6
2019-01-21,00,3,12,0.0,59,1031,4
2019-01-21,03,3,11,0.0,54,1030,0
2019-01-21,06,2,10,0.0,48,1030,1
2019-01-21,09,6,9,0.0,32,1030,2
2019-01-21,12,9,11,0.0,32,1028,3
2019-01-21,15,10,12,0.0,34,1027,2
2019-01-21,18,8,11,0.0,39,1027,2
2019-01-21,21,5,8,0.0,46,1027,4
2019-01-22,00,3,6,0.0,52,1027,11
2019-01-22,03,3,7,0.0,54,1026,6
2019-01-22,06,3,8,0.0,53,1026,3
2019-01-22,09,7,11,0.0,37,1026,0
2019-01-22,12,12,17,0.0,32,1025,0
2019-01-22,15,11,16,0.0,34,1025,0
2019-01-22,18,9,11,0.0,38,1025,0
2019-01-22,21,7,7,0.0,41,1025,0
2019-01-23,00,6,6,0.0,47,1024,0
2019-01-23,03,4,6,0.0,53,1025,0
2019-01-23,06,4,6,0.0,57,1025,0
2019-01-23,09,9,8,0.0,39,1025,0
2019-01-23,12,14,10,0.0,32,1024,0
2019-01-23,15,15,8,0.0,37,1024,0
2019-01-23,18,12,6,0.0,41,1025,0
2019-01-23,21,8,5,0.0,47,1026,0
2019-01-24,00,7,5,0.0,53,1025,0
2019-01-24,03,6,5,0.0,59,1025,0
2019-01-24,06,5,4,0.0,60,1026,0
2019-01-24,09,10,4,0.0,38,1027,0
2019-01-24,12,14,6,0.0,35,1025,0
2019-01-24,15,13,8,0.0,46,1024,0
2019-01-24,18,10,10,0.0,55,1024,0
2019-01-24,21,8,9,0.0,59,1025,0
2019-01-25,00,8,7,0.0,64,1024,0
2019-01-25,03,7,6,0.0,68,1025,0
2019-01-25,06,6,6,0.0,69,1026,0
2019-01-25,09,10,6,0.0,53,1027,10
2019-01-25,12,13,9,0.0,47,1026,27
2019-01-25,15,11,15,0.0,51,1028,27
2019-01-25,18,8,19,0.0,66,1030,61
2019-01-25,21,6,21,0.0,64,1032,38
2019-01-26,00,4,20,0.0,64,1033,45
2019-01-26,03,3,19,0.0,64,1034,76
2019-01-26,06,3,18,0.0,63,1034,88
2019-01-26,09,5,17,0.0,58,1035,99
2019-01-26,12,6,15,0.0,55,1033,80
2019-01-26,15,6,14,0.0,55,1033,56
2019-01-26,18,6,13,0.0,59,1033,16
2019-01-26,21,4,9,0.0,61,1034,3
2019-01-27,00,3,5,0.0,65,1032,4
2019-01-27,03,2,4,0.0,68,1032,3
2019-01-27,06,3,3,0.0,68,1032,2
2019-01-27,09,6,4,0.0,54,1032,0
2019-01-27,12,10,9,0.0,48,1029,0
2019-01-27,15,10,11,0.0,55,1027,8
2019-01-27,18,9,11,0.0,65,1026,2
