date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-15,09,31,7,0.0,64,1015,9
2019-01-15,12,35,5,0.0,51,1014,14
2019-01-15,15,35,20,3.6,58,1013,81
2019-01-15,18,31,16,0.0,68,1013,29
2019-01-15,21,29,8,0.0,74,1015,29
2019-01-16,00,28,6,0.0,77,1015,11
2019-01-16,03,28,8,0.0,76,1015,12
2019-01-16,06,27,9,0.0,76,1014,13
2019-01-16,09,32,10,0.0,62,1015,10
2019-01-16,12,35,4,0.0,54,1014,12
2019-01-16,15,34,14,0.7,57,1013,77
2019-01-16,18,31,7,0.0,65,1013,19
2019-01-16,21,29,4,0.0,71,1015,19
2019-01-17,00,28,7,0.0,71,1015,13
2019-01-17,03,28,7,0.0,73,1014,11
2019-01-17,06,26,6,0.0,75,1014,10
2019-01-17,09,32,3,0.0,59,1015,9
2019-01-17,12,35,9,0.0,49,1014,9
2019-01-17,15,34,19,1.7,56,1012,86
2019-01-17,18,32,10,0.0,67,1013,22
2019-01-17,21,29,5,0.0,79,1015,21
2019-01-18,00,28,3,0.0,81,1014,14
2019-01-18,03,28,6,0.0,80,1014,9
2019-01-18,06,28,5,0.0,79,1014,8
2019-01-18,09,32,3,0.0,61,1014,8
2019-01-18,12,34,15,0.0,58,1014,11
2019-01-18,15,32,19,0.0,63,1012,19
2019-01-18,18,31,15,0.0,72,1012,19
2019-01-18,21,28,10,0.0,81,1014,18
2019-01-19,00,27,6,0.0,84,1013,21
2019-01-19,03,27,5,0.0,83,1013,15
2019-01-19,06,27,5,0.0,81,1013,9
2019-01-19,09,32,4,0.0,65,1013,5
2019-01-19,12,35,8,0.0,51,1012,6
2019-01-19,15,36,15,0.0,55,1010,11
2019-01-19,18,31,18,0.0,67,1010,19
2019-01-19,21,29,4,0.0,75,1012,25
2019-01-20,00,29,5,0.0,75,1012,25
2019-01-20,03,28,10,0.0,76,1012,30
2019-01-20,06,28,5,0.0,77,1013,21
2019-01-20,09,31,6,0.2,65,1014,70
2019-01-20,12,33,11,0.0,62,1013,20
2019-01-20,15,30,19,0.0,73,1013,40
2019-01-20,18,29,10,0.2,78,1013,89
2019-01-20,21,28,7,1.1,82,1015,83
2019-01-21,00,27,6,0.0,84,1015,28
2019-01-21,03,27,3,0.1,84,1014,76
2019-01-21,06,26,1,0.0,83,1014,15
2019-01-21,09,31,4,0.0,66,1015,14
2019-01-21,12,35,8,0.0,54,1014,14
2019-01-21,15,33,13,0.0,59,1013,21
2019-01-21,18,32,15,0.0,68,1013,27
2019-01-21,21,29,4,0.0,73,1015,29
2019-01-22,00,29,5,0.0,73,1015,13
2019-01-22,03,28,5,0.0,76,1014,10
2019-01-22,06,28,5,0.0,77,1014,11
2019-01-22,09,32,3,0.0,62,1015,15
2019-01-22,12,33,14,0.0,57,1015,16
2019-01-22,15,31,18,0.0,64,1014,15
2019-01-22,18,30,10,0.0,73,1014,22
2019-01-22,21,28,5,0.0,81,1016,27
2019-01-23,00,28,4,0.0,81,1016,25
2019-01-23,03,27,3,0.0,84,1015,26
2019-01-23,06,27,4,0.0,82,1015,32
2019-01-23,09,31,3,0.1,67,1016,77
2019-01-23,12,32,15,0.2,60,1015,87
2019-01-23,15,31,14,0.2,63,1014,79
2019-01-23,18,30,13,0.2,66,1014,78
2019-01-23,21,28,7,0.0,74,1016,17
2019-01-24,00,27,3,0.0,78,1015,24
2019-01-24,03,26,5,0.0,80,1015,28
2019-01-24,06,27,2,0.0,80,1015,20
2019-01-24,09,31,1,0.0,64,1015,15
2019-01-24,12,34,10,0.0,54,1014,11
2019-01-24,15,33,18,0.0,60,1012,16
2019-01-24,18,30,14,0.0,70,1013,24
2019-01-24,21,28,8,0.0,78,1015,25
2019-01-25,00,27,3,0.0,82,1015,26
2019-01-25,03,27,5,0.0,81,1014,21
2019-01-25,06,27,4,0.0,79,1014,12
2019-01-25,09,31,4,0.2,64,1015,77
2019-01-25,12,29,15,0.2,62,1014,52
2019-01-25,15,30,17,0.0,65,1014,39
2019-01-25,18,26,9,2.4,75,1015,70
2019-01-25,21,25,6,3.0,82,1016,87
2019-01-26,00,26,12,0.5,80,1016,61
2019-01-26,03,24,8,0.0,78,1016,65
2019-01-26,06,24,4,0.0,79,1016,48
2019-01-26,09,28,1,0.0,68,1017,20
2019-01-26,12,33,8,0.0,57,1017,27
2019-01-26,15,31,19,0.0,63,1015,47
2019-01-26,18,29,21,0.0,66,1015,26
2019-01-26,21,27,16,0.0,73,1017,14
2019-01-27,00,26,14,0.0,78,1017,8
2019-01-27,03,26,8,0.0,79,1017,7
2019-01-27,06,25,5,0.0,80,1017,8
2019-01-27,09,30,6,0.0,65,1018,6
2019-01-27,12,33,11,0.0,54,1017,8
2019-01-27,15,33,18,0.0,57,1015,18
2019-01-27,18,30,19,0.0,65,1016,18
2019-01-27,21,29,12,0.0,69,1018,11
2019-01-28,00,27,13,0.0,73,1018,6
2019-01-28,03,27,6,0.0,77,1018,9
2019-01-28,06,25,4,0.0,77,1018,6
2019-01-28,09,31,2,0.0,66,1019,5
2019-01-28,12,33,9,0.0,56,1018,12
2019-01-28,15,32,16,0.0,59,1016,22
